Lista de precios,,
ARTICULO,DESCRIPCION,PRECIO 1
M-048P," Mezcladora lavabo, manerales palanca, Basic",319.827595409826
MUFA-3/4," Mufa con abrazadera para tubo 3/4', Voltech",20.6896551724138
1524,(BAJE) Adaptador 3 contactosluz de noche,25.8620697096894
1301,(BAJE) Multicontacto 5+1 ContacTos (1 P/Adap)     1301,40.5172413793103
1541,(BAJE) Timmer AdaptadorC/Crmetro Encendido Semanal,55.1724137931035
2910,(Valvula) llave hembra 3/8 p.azul,77.5862091290682
2911,(Valvula) llave hembra 3/8 p.roja,77.5862091290682
9999C,.,0.86206899032298
9999G,.,0.86206899032298
9999K,.,0.86206899032298
9999L,.,0.86206899032298
9999M,.,0.86206899032298
9999P,.,0.86206899032298
CTF-3/4,.,6.03448293226086
CORAL-4P,"2 conectores y 2 coples para compresor, Pretul",99.1379338871427
ESM-32,"2 Escuadras magnéticas esquineras 3"", capacidad 11 kg, Truper",168.103453112981
CU-CE-3-1/4,2 piezas cuchillas carburo de tungsteno para CEPEL-3-1/4A4,228.44828243559
CORAL-5P,"4 conectores y 1 cople para compresor, Pretul",71.5517261968074
ABRACOL,abracol barra 1/4 x 10 cm,19.8275867774285
AB-10,"Abrazadera # 10 de 3/4"" a1 1/16"", ancho 1/2""",10.3448278838758
AB-12,"Abrazadera # 12 de 5/8"" a1 1/4"", ancho 1/2""",11.2068968741987
AB-16,"Abrazadera # 16 de 3/4"" a1 1/2"", ancho 1/2""",12.0689658645217
AB-20,"Abrazadera # 20 de 3/4"" a 1 3/4"", ancho 1/2""",12.9310348548447
AB-24,"Abrazadera # 24 de 1 1/4"" a2 "", ancho 1/2""",14.6551728354907
AB-28,"Abrazadera # 28 de 1 1/2"" a2  1/4"", ancho 1/2""",17.2413798064596
AB-32,"Abrazadera # 32 de 1 9/16 a 2 1/2"" ancho 1/2""",17.2413798064596
AB-36,"Abrazadera # 36 de 1 13/16"" a2 3/4"", ancho 1/2""",18.9655177871056
AB-40,"Abrazadera # 40 de 2 1/4"" a 3 1/4"", ancho 1/2""",21.5517247580745
